Area_sqft,Bedrooms,Bathrooms,Age_years,Garage_spaces,Dist_School_km,Dist_City_km,Crime_Rate,Price_USD
3774,2,2,23,0,2.1,33.0,7.48,380700.0
4107,2,3,21,0,0.7,13.2,6.7,458500.0
1460,1,1,4,0,3.9,32.1,1.47,138700.0
1894,1,1,32,1,3.8,38.7,4.74,123300.0
1730,1,2,35,0,10.0,34.4,7.0,76200.0
1695,3,3,46,0,4.6,5.6,4.79,220600.0
4372,5,3,19,1,3.5,29.8,7.3,548300.0
3692,2,2,18,1,5.9,13.5,7.57,409800.0
2238,2,2,34,2,1.1,39.5,3.67,228400.0
2769,3,3,42,1,9.6,19.9,3.33,276300.0
1066,2,1,16,1,6.4,5.8,7.52,113400.0
1838,1,3,44,2,7.6,29.3,5.56,147400.0
930,5,2,42,1,1.9,13.6,1.37,157000.0
2082,4,1,33,1,4.2,39.9,0.82,189600.0
2735,2,1,8,1,4.3,39.2,4.73,291100.0
4044,1,2,25,1,8.3,26.6,7.48,398800.0
3771,4,2,1,2,0.2,6.1,6.83,487200.0
3519,5,2,8,1,3.1,27.8,5.57,438900.0
4335,4,3,8,1,9.8,4.6,1.54,564900.0
730,1,3,39,2,4.9,2.1,2.41,109600.0
2285,4,1,16,0,3.9,33.1,7.07,230400.0
3980,3,2,0,2,1.4,9.2,1.87,555700.0
1369,4,1,24,0,9.7,15.8,2.59,156300.0
2991,2,1,42,2,0.4,39.0,1.47,329700.0
2115,2,1,39,2,7.4,14.1,5.57,209400.0
4085,3,1,41,1,7.7,12.6,7.58,461600.0
3453,1,2,24,0,2.6,36.8,2.52,341300.0
3033,2,1,38,1,6.8,5.3,4.07,336600.0
1815,5,2,34,0,1.1,30.6,5.26,208200.0
1555,2,2,2,2,2.7,39.5,8.0,168600.0
2924,2,3,49,2,7.9,36.2,1.29,331700.0
1784,1,2,36,0,8.7,26.4,4.24,137400.0
1059,4,3,43,1,6.2,13.2,3.39,122000.0
3985,2,2,43,1,5.2,10.9,6.99,445300.0
621,3,2,29,1,1.8,33.0,4.07,50000.0
2900,4,2,37,1,0.8,35.3,1.33,372800.0
1347,5,3,33,2,1.4,21.5,5.26,192400.0
3504,1,3,11,2,2.4,10.5,6.28,423900.0
4232,5,1,18,2,3.5,5.4,0.52,565000.0
1074,4,3,36,2,3.9,4.4,6.94,145600.0
1682,4,3,43,2,3.6,29.0,1.9,226700.0
3158,4,3,48,1,2.5,17.4,4.64,385400.0
4353,5,3,16,1,5.2,36.3,3.62,541000.0
2647,4,1,9,1,8.3,29.8,5.9,276300.0
4147,5,3,48,1,2.9,8.5,3.28,553200.0
3347,4,2,46,2,9.4,24.9,7.02,378600.0
1575,3,2,11,2,8.8,18.0,5.98,178800.0
2406,4,3,15,2,1.8,23.5,5.36,340300.0
789,5,3,23,0,7.9,29.8,6.47,85000.0
3605,2,2,18,1,5.8,32.4,6.16,395100.0
3334,4,2,7,1,5.8,33.9,0.77,390000.0
3605,2,1,30,2,4.0,10.9,3.46,426300.0
1162,3,2,20,1,5.1,2.2,7.48,140400.0
2499,1,2,16,1,4.1,29.8,1.44,272200.0
4238,3,3,22,2,5.5,5.1,6.03,535300.0
1867,4,2,36,0,6.4,13.3,7.81,202900.0
3479,2,1,15,0,6.8,1.1,0.89,430200.0
2128,2,2,5,0,5.4,27.6,5.62,211200.0
3802,5,3,7,2,7.3,7.5,4.01,533000.0
4156,2,3,24,1,1.6,26.6,4.84,503100.0
4490,5,2,17,2,2.3,39.7,1.14,546900.0
1246,1,3,24,2,8.2,3.8,0.82,151200.0
2668,4,1,11,1,3.4,4.0,5.5,336600.0
3488,5,1,14,0,0.4,14.3,6.67,422000.0
2814,1,2,25,0,1.7,34.8,6.37,260400.0
1897,2,2,40,2,2.4,9.4,4.58,236900.0
3035,2,2,44,0,9.6,15.1,1.25,347000.0
1200,1,3,25,2,5.8,3.7,5.66,141300.0
2963,2,1,46,2,9.3,30.8,2.31,286200.0
2661,1,1,31,1,5.8,16.9,7.33,262200.0
841,5,3,9,1,4.9,30.6,6.79,82700.0
2641,5,1,15,1,3.3,36.2,5.82,290800.0
3424,1,2,6,2,6.1,10.1,7.62,354700.0
4017,5,2,16,1,1.6,32.5,0.74,503000.0
3212,5,2,22,0,9.0,3.3,6.02,393300.0
3545,5,1,25,0,8.3,36.1,2.98,420600.0
1963,3,2,20,2,3.3,26.4,7.3,177100.0
2739,4,3,21,2,9.5,35.1,2.5,324000.0
1990,2,3,6,1,8.3,1.0,5.94,261200.0
3603,3,1,13,2,6.7,7.6,7.08,434200.0
2078,5,3,14,2,1.4,16.2,0.81,354500.0
4099,1,3,6,0,4.9,15.8,3.48,484700.0
3156,5,1,8,0,5.2,9.8,6.22,403500.0
1375,4,2,47,1,2.5,15.9,3.91,140900.0
634,5,2,7,2,1.0,6.0,2.5,146200.0
2853,1,2,49,2,7.8,17.1,2.15,271600.0
3752,4,1,22,0,1.4,32.3,1.49,453100.0
2555,5,3,28,2,6.0,19.7,6.93,334200.0
2185,4,2,17,0,9.4,1.7,4.82,282500.0
4059,2,2,30,1,8.8,17.4,1.07,454000.0
3673,2,1,29,0,2.9,2.1,3.37,416300.0
1621,5,2,38,2,8.5,38.7,3.26,182400.0
4061,4,1,34,1,0.2,6.0,1.86,511200.0
3213,1,3,17,0,0.4,28.6,3.77,344700.0
1729,5,1,41,0,6.1,38.9,2.99,162500.0
4443,2,1,38,1,3.8,33.2,3.06,466300.0
4493,2,1,16,1,4.0,28.3,6.04,478700.0
2100,5,1,13,0,5.7,33.7,2.17,231700.0
1302,4,3,30,2,2.1,39.3,5.31,159200.0
3049,2,3,23,0,2.3,25.2,4.78,368200.0
3377,4,2,34,1,4.9,22.8,4.76,396800.0
2179,2,3,43,0,7.6,25.5,5.47,208000.0
761,2,3,44,1,6.3,21.8,4.61,63500.0
801,3,2,33,1,3.1,25.8,7.09,68800.0
2581,2,3,2,2,4.4,18.5,5.57,308600.0
1595,1,1,36,1,1.9,9.5,4.6,180400.0
2917,5,1,42,1,0.9,5.7,6.72,355200.0
1415,5,2,39,2,7.9,3.7,5.05,208800.0
3942,4,2,25,1,2.8,11.3,2.68,514200.0
1055,2,2,22,2,1.9,2.8,2.05,129500.0
4133,1,1,43,2,7.0,23.1,1.64,435300.0
4398,4,3,38,1,6.3,12.1,7.25,528900.0
1875,3,1,14,1,6.4,33.2,5.83,182600.0
1616,4,2,48,0,2.4,3.9,7.53,193300.0
4373,4,3,3,2,2.5,9.8,5.02,598400.0
2943,2,3,28,0,2.4,29.5,4.05,324900.0
4396,3,1,21,1,1.9,24.4,0.95,534000.0
3367,4,2,24,0,6.6,3.5,5.54,415400.0
4420,1,1,12,2,8.5,35.2,4.87,445900.0
937,1,3,17,0,7.3,35.2,7.93,50000.0
1478,5,1,32,2,8.0,13.9,2.29,209700.0
1676,3,1,15,1,4.2,14.3,4.48,214300.0
1391,3,2,44,1,6.6,39.6,5.38,110700.0
2864,5,2,41,2,3.7,25.4,5.33,370000.0
1363,4,3,43,1,5.3,21.7,4.71,167400.0
2835,3,1,1,1,4.9,33.7,6.33,320500.0
979,1,1,34,1,1.9,12.1,2.04,105300.0
1092,1,1,41,1,4.0,17.7,5.94,61600.0
3712,2,3,33,2,9.6,11.4,5.15,440300.0
1780,3,3,29,0,2.6,31.8,7.22,165700.0
2662,4,2,12,0,1.5,23.4,6.85,325200.0
4484,5,2,12,1,4.3,26.7,2.86,576900.0
664,5,2,17,0,7.9,10.8,2.57,128100.0
3168,4,1,31,0,5.9,9.6,7.86,368300.0
1967,2,1,31,1,6.9,20.0,4.45,204300.0
1752,5,2,34,1,2.1,29.8,7.3,201000.0
2627,3,1,38,0,6.3,21.5,1.73,276900.0
3295,2,2,45,2,3.4,2.3,5.32,385000.0
2095,3,3,28,1,8.4,34.9,6.57,211600.0
3734,1,2,48,2,6.4,3.5,7.61,375000.0
1762,2,3,28,0,2.1,38.3,3.03,196100.0
2122,5,1,43,1,0.8,2.0,5.94,280800.0
3240,2,2,15,2,0.6,28.1,4.54,373900.0
991,2,1,43,1,3.8,4.2,0.95,74100.0
2298,2,3,46,0,2.8,36.5,5.67,212900.0
1018,2,3,9,2,6.5,19.1,5.68,117400.0
2936,3,3,29,0,5.1,6.4,7.48,334400.0
978,1,1,24,0,2.8,14.3,4.23,64100.0
2396,4,1,38,1,1.7,7.4,2.23,309400.0
4161,2,1,19,2,1.4,7.7,0.83,513400.0
2878,5,1,4,0,8.7,38.0,3.62,336500.0
3665,2,3,0,0,2.6,18.4,2.76,445400.0
2688,5,3,29,2,6.6,31.8,6.21,330100.0
3699,3,2,48,0,8.1,25.9,3.16,413200.0
2782,5,2,2,0,6.2,27.4,7.62,332900.0
800,4,1,44,2,8.6,6.1,7.72,80600.0
2463,1,3,13,2,4.0,10.1,5.16,303600.0
1379,5,3,29,2,9.6,31.7,7.46,155700.0
3577,5,3,49,2,1.5,38.9,6.21,422100.0
3704,1,2,3,1,1.2,11.2,4.6,437100.0
3719,4,2,17,2,6.7,11.6,1.85,488200.0
1102,2,3,36,1,9.4,19.4,3.94,96200.0
3054,5,3,24,1,8.1,39.4,4.71,382500.0
4245,1,3,47,1,0.9,11.5,6.98,488100.0
2351,3,2,0,0,2.9,16.9,4.11,274700.0
1404,1,3,45,1,9.3,35.8,7.23,52800.0
2746,3,3,14,1,2.7,1.1,5.56,367800.0
3331,4,1,8,0,7.9,2.6,1.53,424100.0
2495,2,1,14,0,8.3,24.6,7.96,225900.0
3373,1,2,48,0,5.1,36.4,4.45,323000.0
2170,5,3,23,2,4.0,10.3,3.44,329100.0
1560,4,3,3,0,4.6,19.3,5.44,215400.0
4410,1,1,11,0,2.4,18.6,1.32,527400.0
3260,5,2,36,1,8.9,19.4,5.27,366400.0
2085,1,1,36,0,4.6,25.3,4.24,177000.0
3290,3,1,42,2,8.8,19.3,3.55,352400.0
4440,1,1,5,0,1.2,18.5,7.65,507700.0
1628,1,1,38,2,9.9,19.5,4.42,93800.0
3889,1,3,45,0,4.5,24.0,2.14,389000.0
1102,4,3,23,0,0.7,21.9,3.94,159800.0
3414,1,1,10,0,0.6,34.3,7.4,355300.0
997,5,2,12,0,7.5,2.9,1.82,184700.0
1470,3,2,33,2,6.7,33.5,2.1,142100.0
3442,3,2,24,2,8.1,33.9,0.6,423300.0
992,1,2,6,1,1.2,12.1,0.61,118000.0
806,4,1,3,2,0.5,19.1,6.72,138200.0
1638,4,3,7,0,5.2,18.1,5.99,197800.0
2481,5,2,19,1,4.0,9.5,3.16,342200.0
4225,1,1,28,1,4.7,16.5,5.74,461600.0
3539,3,2,44,1,9.9,2.7,3.46,393400.0
2084,4,2,45,0,9.7,11.8,7.65,235100.0
4362,1,1,9,2,9.4,32.9,7.75,437600.0
4246,4,3,42,0,7.9,12.1,3.45,514900.0
1463,4,3,33,1,3.7,32.9,6.91,175600.0
3390,3,1,25,0,4.2,21.7,6.3,355300.0
3912,2,3,40,0,5.6,35.3,2.82,435500.0
1163,5,1,48,2,8.3,23.4,2.24,157600.0
1620,5,1,2,2,0.9,2.2,3.94,260300.0
695,3,1,5,1,4.4,27.3,6.36,79000.0
2523,4,3,4,0,1.0,2.7,7.7,323600.0
2357,1,1,4,0,5.2,18.6,6.23,237800.0
3132,4,2,46,2,9.0,37.2,6.91,303300.0
4078,3,3,22,0,7.9,7.4,5.02,507000.0
2878,5,3,48,0,2.4,16.2,6.77,365500.0
3396,4,3,8,0,9.8,29.5,6.38,422700.0
2278,5,3,34,2,6.7,35.4,3.33,304600.0
3842,1,2,19,1,0.3,27.2,4.64,425500.0
1140,5,3,48,1,2.7,11.1,6.54,143700.0
1659,5,3,41,0,2.8,27.3,0.85,232200.0
3172,2,1,34,1,0.9,12.6,6.56,348100.0
1783,2,3,49,2,9.6,29.0,1.83,198600.0
2322,2,2,17,2,4.9,38.2,4.36,208700.0
3914,5,2,16,1,9.0,29.1,6.56,493300.0
3757,3,2,23,1,3.4,34.7,2.4,443200.0
2419,5,2,2,0,1.4,1.1,2.34,357900.0
3225,3,3,31,1,4.8,29.0,3.52,386700.0
3329,3,3,34,0,1.3,33.4,7.21,382700.0
3204,2,2,37,0,5.0,2.6,0.5,389200.0
2197,4,2,12,2,9.2,35.0,7.26,211200.0
3660,1,3,46,2,5.3,11.0,1.65,424300.0
3293,2,2,24,2,6.2,26.9,7.93,363000.0
1395,2,1,8,2,1.7,32.2,7.66,134700.0
1651,4,2,3,1,0.6,26.8,4.21,222300.0
2243,1,2,13,2,1.3,4.6,4.35,300800.0
4227,5,1,36,1,6.1,24.3,4.11,509200.0
1963,5,1,33,2,1.1,22.4,5.27,261200.0
4469,2,3,10,1,3.9,36.1,1.18,524400.0
2581,1,3,40,0,5.6,16.8,0.74,275400.0
1954,2,1,2,1,4.0,13.5,0.93,220500.0
2263,3,1,27,1,1.8,30.2,3.83,241200.0
2129,2,3,28,2,2.9,17.1,2.57,281900.0
2638,2,2,8,1,9.3,26.2,5.17,276000.0
4019,5,1,2,0,6.8,26.2,7.94,475000.0
2096,5,3,24,0,5.1,35.6,3.4,274300.0
3902,5,2,33,2,0.3,24.3,4.8,501100.0
2837,3,1,11,0,9.9,20.6,3.62,317000.0
3896,5,2,41,1,6.8,6.4,6.85,457100.0
2008,1,3,8,0,3.3,5.5,7.27,226200.0
2000,4,1,14,2,8.8,7.0,7.08,270400.0
1906,1,2,39,1,2.7,7.7,7.81,187400.0
3280,1,1,24,2,5.5,25.9,0.71,387000.0
3275,5,2,4,1,6.4,29.9,6.8,387900.0
1572,4,3,10,0,2.4,21.7,6.14,209700.0
2368,4,3,33,2,9.8,33.3,2.22,273600.0
1882,4,1,23,2,7.5,39.7,7.67,183900.0
4030,3,2,14,1,5.7,33.0,1.61,488200.0
1309,5,1,37,2,2.0,28.1,5.6,163400.0
2079,4,1,7,1,0.7,21.8,2.19,293800.0
2034,3,2,4,1,3.3,18.5,3.74,261300.0
1248,2,2,47,1,7.6,4.3,5.89,112600.0
917,2,2,25,1,2.8,16.6,4.72,68800.0
4348,3,3,17,0,5.5,36.5,3.71,508900.0
3896,3,1,5,1,7.3,32.5,2.95,445700.0
4490,5,1,36,2,1.3,9.4,6.8,560000.0
1857,5,3,47,0,6.9,19.2,1.58,236000.0
1283,2,2,12,2,1.1,32.9,3.73,142500.0
1263,4,3,27,0,9.7,3.6,7.28,151500.0
2598,2,3,4,1,5.0,16.1,6.84,301300.0
4498,4,3,12,0,1.7,34.2,3.51,555800.0
4045,4,1,16,0,3.6,16.8,6.22,484800.0
4343,5,3,49,2,4.3,4.0,6.67,545200.0
2231,1,1,39,2,7.6,22.2,7.17,181600.0
2095,1,1,44,1,7.5,34.6,4.58,150800.0
3904,3,1,31,0,6.2,24.0,2.03,436000.0
4363,5,2,28,0,1.2,9.8,2.41,567900.0
1736,4,1,2,0,1.7,16.0,2.72,245900.0
2453,1,1,39,1,1.1,18.6,4.95,217400.0
2120,4,2,33,1,5.9,23.6,0.75,241000.0
3089,1,1,39,1,8.8,30.6,5.27,278700.0
1163,1,3,26,1,4.5,4.9,3.23,131700.0
1891,1,3,12,1,1.8,35.7,2.71,217100.0
4181,5,1,44,2,5.7,1.5,7.1,532200.0
